filename,true_label,predicted,distance,similarity,status,correct
Adriana Lima233_134-person-0-bb-0-1-436-463.jpg,adriana lima,adriana lima,0.5384,0.4616,OK,True
Adriana Lima7_188-person-0-bb-0-0-302-320.jpg,adriana lima,adriana lima,0.3434,0.6566,OK,True
Alex Lawther115_13-person-0-bb-2-0-118-128.jpg,alex lawther,alex lawther,0.5291,0.4709,OK,True
Alvaro Morte90_281-person-0-bb-0-0-97-108.jpg,alvaro morte,alvaro morte,0.3982,0.6018,OK,True
alycia dabnem carey184_78-person-0-bb-0-0-209-221.jpg,alycia dabnem carey,alycia dabnem carey,0.4809,0.5191,OK,True
Amanda Crew15_32-person-0-bb-1-2-437-415.jpg,amanda crew,amanda crew,0.5538,0.4462,OK,True
amber heard167_278-person-0-bb-0-0-209-221.jpg,amber heard,amber heard,0.2872,0.7128,OK,True
Andy Samberg15_484-person-0-bb-2-0-342-387.jpg,andy samberg,andy samberg,0.3732,0.6268,OK,True
Anne Hathaway23_411-person-0-bb-0-0-299-320.jpg,anne hathaway,anne hathaway,0.2347,0.7653,OK,True
Anthony Mackie61_542-person-0-bb-2-15-102-108.jpg,anthony mackie,anthony mackie,0.4767,0.5233,OK,True
Avril Lavigne102_567-person-0-bb-1-0-206-220.jpg,avril lavigne,avril lavigne,0.626,0.374,OK,True
Avril Lavigne181_625-person-0-bb-1-0-170-184.jpg,avril lavigne,brie larson,0.6685,0.3315,MISS,False
barack obama155_660-person-0-bb-0-0-251-266.jpg,barack obama,barack obama,0.4938,0.5062,OK,True
barack obama236_696-person-1-bb-4-0-174-185.jpg,barack obama,barack obama,0.6192,0.3808,OK,True
barbara palvin123_767-person-0-bb-0-0-255-266.jpg,barbara palvin,katherine langford,0.4728,0.5272,MISS,False
barbara palvin126_772-person-0-bb-0-0-101-108.jpg,barbara palvin,barbara palvin,0.6291,0.3709,OK,True
Ben Affleck190_175-person-0-bb-2-11-89-108.jpg,ben affleck,ben affleck,0.4395,0.5605,OK,True
Ben Affleck197_179-person-0-bb-0-0-144-154.jpg,ben affleck,chris pratt,0.6369,0.3631,MISS,False
Bobby Morley0_245-person-0-bb-0-0-143-154.jpg,bobby morley,unknown,0.7621,0.2379,MISS,False
Bobby Morley108_256-person-0-bb-0-0-172-184.jpg,bobby morley,unknown,0.7407,0.2593,SEUIL,False
Brenton Thwaites106_737-person-0-bb-0-0-355-387.jpg,brenton thwaites,brenton thwaites,0.038,0.962,OK,True
Brenton Thwaites126_753-person-0-bb-12-0-121-129.jpg,brenton thwaites,brenton thwaites,0.6426,0.3574,OK,True
Brian J. Smith243_676-person-0-bb-0-2-468-546.jpg,brian j. smith,brian j. smith,0.4733,0.5267,OK,True
Brie Larson146_983-person-0-bb-0-8-170-184.jpg,brie larson,brie larson,0.5949,0.4051,OK,True
Brie Larson87_1096-person-0-bb-10-0-146-154.jpg,brie larson,elizabeth lail,0.6124,0.3876,MISS,False
Chris Hemsworth191_444-person-0-bb-6-0-101-108.jpg,chris hemsworth,chris hemsworth,0.5804,0.4196,OK,True
Chris Pratt206_806-person-1-bb-13-0-120-127.jpg,chris pratt,chris pratt,0.545,0.455,OK,True
Chris Pratt49_859-person-0-bb-6-1-436-462.jpg,chris pratt,chris pratt,0.674,0.326,OK,True
Christian Bale10_546-person-0-bb-0-3-174-185.jpg,christian bale,christian bale,0.5002,0.4998,OK,True
Christian Bale82_687-person-0-bb-8-2-99-105.jpg,christian bale,christian bale,0.6365,0.3635,OK,True
Cristiano Ronaldo52_1355-person-0-bb-2-0-251-266.jpg,cristiano ronaldo,cristiano ronaldo,0.623,0.377,OK,True
Danielle Panabaker131_1405-person-0-bb-0-1-365-387.jpg,danielle panabaker,danielle panabaker,0.3369,0.6631,OK,True
Eliza Taylor26_814-person-0-bb-0-0-174-185.jpg,eliza taylor,barbara palvin,0.6637,0.3363,MISS,False
Eliza Taylor32_822-person-0-bb-0-0-102-108.jpg,eliza taylor,eliza taylor,0.6318,0.3682,OK,True
Elizabeth Lail12_1071-person-0-bb-0-0-301-319.jpg,elizabeth lail,elizabeth lail,0.4086,0.5914,OK,True
Elizabeth Lail9_1203-person-0-bb-0-0-244-265.jpg,elizabeth lail,elizabeth lail,0.5988,0.4012,OK,True
elizabeth olsen225_1232-person-0-bb-15-6-102-108.jpg,elizabeth olsen,elizabeth olsen,0.5179,0.4821,OK,True
ellen page102_1337-person-0-bb-0-0-209-225.jpg,ellen page,ellen page,0.4473,0.5527,OK,True
Emma Watson48_2002-person-0-bb-0-0-173-185.jpg,emma watson,emma watson,0.5042,0.4958,OK,True
Emma Watson58_2010-person-0-bb-0-0-357-463.jpg,emma watson,emma watson,0.6401,0.3599,OK,True
grant gustin10_1859-person-0-bb-0-0-209-221.jpg,grant gustin,grant gustin,0.36,0.64,OK,True
Gwyneth Paltrow75_2225-person-0-bb-0-0-119-128.jpg,gwyneth paltrow,gwyneth paltrow,0.5055,0.4945,OK,True
Gwyneth Paltrow91_2238-person-0-bb-0-0-145-155.jpg,gwyneth paltrow,brie larson,0.6506,0.3494,MISS,False
Henry Cavil78_1257-person-0-bb-0-0-249-266.jpg,henry cavil,chris pratt,0.6279,0.3721,MISS,False
